var,mod,2006
ddipl,1,3117000.0
ddipl,2,2374000.0
ddipl,3,3481000.0
ddipl,4,6187000.0
ddipl,5,1952000.0
ddipl,6,8773000.0
typmen15,1,4044000.0
typmen15,2,4412000.0
typmen15,3,1460000.0
typmen15,4,310000.0
typmen15,5,336000.0
typmen15,6,1208000.0
typmen15,7,2364000.0
typmen15,8,3507000.0
typmen15,9,1799000.0
typmen15,10,5376000.0
typmen15,11,247000.0
typmen15,12,185000.0
typmen15,13,181000.0
typmen15,14,321000.0
typmen15,15,132000.0
cstotpragr,1,369000.0
cstotpragr,2,1181000.0
cstotpragr,3,2951000.0
cstotpragr,4,3605000.0
cstotpragr,5,3056000.0
cstotpragr,6,4475000.0
cstotpragr,7,8889000.0
cstotpragr,8,1351000.0
ageq,0,728000.0
ageq,1,1849000.0
ageq,2,2225000.0
ageq,3,2450000.0
ageq,4,2537000.0
ageq,5,2499000.0
ageq,6,2443000.0
ageq,7,2491000.0
ageq,8,1824000.0
ageq,9,1525000.0
ageq,10,1613000.0
ageq,11,1555000.0
ageq,12,2144000.0
naf16pr,0,11240000.0
naf16pr,1,541000.0
naf16pr,2,360000.0
naf16pr,3,368000.0
naf16pr,4,236000.0
naf16pr,5,655000.0
naf16pr,6,981000.0
naf16pr,7,209000.0
naf16pr,8,1236000.0
naf16pr,9,1841000.0
naf16pr,10,810000.0
naf16pr,11,438000.0
naf16pr,12,207000.0
naf16pr,13,2012000.0
naf16pr,14,1037000.0
naf16pr,15,2049000.0
naf16pr,16,1613000.0
so,1,4946000.0
so,2,10261000.0
so,3,3650000.0
so,4,5796000.0
so,5,415000.0
so,6,791000.0
nbinde,1,8457000.0
nbinde,2,8605000.0
nbinde,3,3687000.0
nbinde,4,3505000.0
nbinde,5,1221000.0
nbinde,6,408000.0
tu99,0,6385000.0
tu99,1,1581000.0
tu99,2,1459000.0
tu99,3,1433000.0
tu99,4,1556000.0
tu99,5,1838000.0
tu99,6,1480000.0
tu99,7,5938000.0
tu99,8,4213000.0
totalpop,0,26833000.0
