var,2003,2004,2005,2006,2007,2008,2009,2010,2011
af,11447.5,11698.6,11951.6,12121.8,12299.9,12342.3,12534.8,12354.2,12413.9
cf,1556.3,1574.6,1594.9,1596.9,1585.4,1595.4,1629.3,1631.4,1635.1
asf,992.1,1027.8,1070.9,1099.4,1181.3,1162.7,1256.8,1255.4,1259.9
api,833.2,899.7,971.7,1064.2,1075.3,1024.3,543.8,0,0
ars,1338.4,1370.3,1381.1,1389.8,1381.1,1487.1,1494.7,1509.9,1527.9
paje,0,1809.3,5228.9,8817.7,10592.8,11420.2,12050.9,12426.2,12753.9
paje_base,0,754.4,2138.7,3445.7,4003.1,4112.3,4233.6,4246.4,4288.2
paje_clca,0,290.3,1169.6,1975.1,2299.2,2256.4,2258.1,2203.3,2213.6
paje_clmg,0,178.8,1329.6,2777.1,3670.6,4413.2,4904.7,5312.2,5581.4
apje,2815.6,1782.9,986,287.9,2.1,0,0,0,0
ape,3033.6,2712.1,1569.1,442.1,0,0.5,0.1,0.5,0
afeama,2168.1,2224.9,1611.4,838.3,286.3,137.6,42.7,-2.1,0
aged,113.3,115.4,97.9,54.4,31.3,17,6.7,-0.1,0
aah,4577.1,4811.7,5031.9,5230.4,5505.4,5773.4,5965.3,0,0
aeeh,468.1,492.4,520.7,567.9,607.5,654.9,670.5,685.5,718.2
